Dish Name;Baby Age;Iron-Rich;Allergen;Ingredients;Cooking Time (mins);Recipe;Texture;Meal Type;Calories (approx);Preparation Difficulty
Apple & Oatmeal Cereal 248;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Easy
Mini Veggie Omelette Fingers 249;9-12 months;Yes;Egg;Eggs, spinach, cheese (optional), olive oil;15;Whisk eggs, cook with veggies, cut into finger strips;Finger Food;Breakfast;150;Easy
Whole Wheat Mini Pancakes 250;12-18 months;No;Gluten,Dairy,Egg;Whole wheat flour, egg, milk, banana;15;Mix ingredients, cook small pancakes;Finger Food;Breakfast;110;Medium
Apple & Oatmeal Cereal 251;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Easy
Mashed Avocado 252;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Easy
Mashed Avocado 253;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Easy
Chicken & Sweet Pea Purée 254;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Medium
Apple & Oatmeal Cereal 255;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Medium
Mini Veggie Omelette Fingers 256;9-12 months;Yes;Egg;Eggs, spinach, cheese (optional), olive oil;15;Whisk eggs, cook with veggies, cut into finger strips;Finger Food;Breakfast;150;Easy
Mini Veggie Omelette Fingers 257;9-12 months;Yes;Egg;Eggs, spinach, cheese (optional), olive oil;15;Whisk eggs, cook with veggies, cut into finger strips;Finger Food;Breakfast;150;Medium
Sweet Potato Purée 258;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Easy
Apple & Oatmeal Cereal 259;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Easy
Mashed Avocado 260;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Easy
Apple & Oatmeal Cereal 261;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Medium
Chicken & Sweet Pea Purée 262;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Medium
Chicken & Sweet Pea Purée 263;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Easy
Salmon & Potato Mash 264;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Medium
Mashed Avocado 265;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Easy
Cheese & Broccoli Pasta 266;18-36 months;No;Gluten,Dairy;Small pasta, broccoli, cheese, butter;15;Cook pasta, steam broccoli, mix with cheese sauce;Soft Pieces;Dinner;200;Easy
Sweet Potato Purée 267;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Medium
Whole Wheat Mini Pancakes 268;12-18 months;No;Gluten,Dairy,Egg;Whole wheat flour, egg, milk, banana;15;Mix ingredients, cook small pancakes;Finger Food;Breakfast;110;Easy
Mashed Avocado 269;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Easy
Salmon & Potato Mash 270;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Easy
Mashed Avocado 271;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Medium
Apple & Oatmeal Cereal 272;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Medium
Chicken & Sweet Pea Purée 273;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Easy
Banana & Yogurt Bowl 274;8-12 months;No;Dairy;Banana, plain yogurt;5;Mash banana, mix with yogurt, serve chilled;Mash;Snack;80;Easy
Salmon & Potato Mash 275;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Easy
Mini Veggie Omelette Fingers 276;9-12 months;Yes;Egg;Eggs, spinach, cheese (optional), olive oil;15;Whisk eggs, cook with veggies, cut into finger strips;Finger Food;Breakfast;150;Easy
Mini Veggie Omelette Fingers 277;9-12 months;Yes;Egg;Eggs, spinach, cheese (optional), olive oil;15;Whisk eggs, cook with veggies, cut into finger strips;Finger Food;Breakfast;150;Easy
Chicken & Sweet Pea Purée 278;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Easy
Lentil & Carrot Mash 279;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Easy
Sweet Potato Purée 280;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Easy
Lentil & Carrot Mash 281;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Easy
Sweet Potato Purée 282;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Medium
Salmon & Potato Mash 283;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Easy
Lentil & Carrot Mash 284;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Easy
Banana & Yogurt Bowl 285;8-12 months;No;Dairy;Banana, plain yogurt;5;Mash banana, mix with yogurt, serve chilled;Mash;Snack;80;Easy
Banana & Yogurt Bowl 286;8-12 months;No;Dairy;Banana, plain yogurt;5;Mash banana, mix with yogurt, serve chilled;Mash;Snack;80;Medium
Salmon & Potato Mash 287;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Easy
Apple & Oatmeal Cereal 288;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Easy
Chicken & Sweet Pea Purée 289;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Medium
Mashed Avocado 290;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Medium
Mashed Avocado 291;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Easy
Mashed Avocado 292;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Easy
Lentil & Carrot Mash 293;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Easy
Salmon & Potato Mash 294;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Easy
Chicken & Sweet Pea Purée 295;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Medium
Apple & Oatmeal Cereal 296;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Medium
Whole Wheat Mini Pancakes 297;12-18 months;No;Gluten,Dairy,Egg;Whole wheat flour, egg, milk, banana;15;Mix ingredients, cook small pancakes;Finger Food;Breakfast;110;Medium
Cheese & Broccoli Pasta 298;18-36 months;No;Gluten,Dairy;Small pasta, broccoli, cheese, butter;15;Cook pasta, steam broccoli, mix with cheese sauce;Soft Pieces;Dinner;200;Medium
Apple & Oatmeal Cereal 299;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Easy
Mashed Avocado 300;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Medium
Cheese & Broccoli Pasta 301;18-36 months;No;Gluten,Dairy;Small pasta, broccoli, cheese, butter;15;Cook pasta, steam broccoli, mix with cheese sauce;Soft Pieces;Dinner;200;Easy
Whole Wheat Mini Pancakes 302;12-18 months;No;Gluten,Dairy,Egg;Whole wheat flour, egg, milk, banana;15;Mix ingredients, cook small pancakes;Finger Food;Breakfast;110;Medium
Whole Wheat Mini Pancakes 303;12-18 months;No;Gluten,Dairy,Egg;Whole wheat flour, egg, milk, banana;15;Mix ingredients, cook small pancakes;Finger Food;Breakfast;110;Easy
Apple & Oatmeal Cereal 304;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Medium
Cheese & Broccoli Pasta 305;18-36 months;No;Gluten,Dairy;Small pasta, broccoli, cheese, butter;15;Cook pasta, steam broccoli, mix with cheese sauce;Soft Pieces;Dinner;200;Medium
Sweet Potato Purée 306;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Easy
Whole Wheat Mini Pancakes 307;12-18 months;No;Gluten,Dairy,Egg;Whole wheat flour, egg, milk, banana;15;Mix ingredients, cook small pancakes;Finger Food;Breakfast;110;Medium
Chicken & Sweet Pea Purée 308;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Easy
Salmon & Potato Mash 309;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Medium
Chicken & Sweet Pea Purée 310;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Easy
Sweet Potato Purée 311;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Medium
Mini Veggie Omelette Fingers 312;9-12 months;Yes;Egg;Eggs, spinach, cheese (optional), olive oil;15;Whisk eggs, cook with veggies, cut into finger strips;Finger Food;Breakfast;150;Medium
Banana & Yogurt Bowl 313;8-12 months;No;Dairy;Banana, plain yogurt;5;Mash banana, mix with yogurt, serve chilled;Mash;Snack;80;Medium
Sweet Potato Purée 314;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Medium
Apple & Oatmeal Cereal 315;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Easy
Lentil & Carrot Mash 316;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Medium
Mashed Avocado 317;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Easy
Chicken & Sweet Pea Purée 318;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Easy
Cheese & Broccoli Pasta 319;18-36 months;No;Gluten,Dairy;Small pasta, broccoli, cheese, butter;15;Cook pasta, steam broccoli, mix with cheese sauce;Soft Pieces;Dinner;200;Easy
Banana & Yogurt Bowl 320;8-12 months;No;Dairy;Banana, plain yogurt;5;Mash banana, mix with yogurt, serve chilled;Mash;Snack;80;Medium
Mashed Avocado 321;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Medium
Salmon & Potato Mash 322;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Medium
Apple & Oatmeal Cereal 323;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Medium
Mashed Avocado 324;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Medium
Mini Veggie Omelette Fingers 325;9-12 months;Yes;Egg;Eggs, spinach, cheese (optional), olive oil;15;Whisk eggs, cook with veggies, cut into finger strips;Finger Food;Breakfast;150;Easy
Banana & Yogurt Bowl 326;8-12 months;No;Dairy;Banana, plain yogurt;5;Mash banana, mix with yogurt, serve chilled;Mash;Snack;80;Easy
Salmon & Potato Mash 327;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Easy
Cheese & Broccoli Pasta 328;18-36 months;No;Gluten,Dairy;Small pasta, broccoli, cheese, butter;15;Cook pasta, steam broccoli, mix with cheese sauce;Soft Pieces;Dinner;200;Medium
Lentil & Carrot Mash 329;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Medium
Whole Wheat Mini Pancakes 330;12-18 months;No;Gluten,Dairy,Egg;Whole wheat flour, egg, milk, banana;15;Mix ingredients, cook small pancakes;Finger Food;Breakfast;110;Easy
Salmon & Potato Mash 331;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Easy
Apple & Oatmeal Cereal 332;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Medium
Banana & Yogurt Bowl 333;8-12 months;No;Dairy;Banana, plain yogurt;5;Mash banana, mix with yogurt, serve chilled;Mash;Snack;80;Easy
Mashed Avocado 334;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Easy
Lentil & Carrot Mash 335;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Medium
Mashed Avocado 336;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Easy
Sweet Potato Purée 337;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Easy
Salmon & Potato Mash 338;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Easy
Mashed Avocado 339;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Medium
Apple & Oatmeal Cereal 340;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Easy
Sweet Potato Purée 341;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Medium
Apple & Oatmeal Cereal 342;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Easy
Lentil & Carrot Mash 343;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Easy
Mashed Avocado 344;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Easy
Cheese & Broccoli Pasta 345;18-36 months;No;Gluten,Dairy;Small pasta, broccoli, cheese, butter;15;Cook pasta, steam broccoli, mix with cheese sauce;Soft Pieces;Dinner;200;Easy
Salmon & Potato Mash 346;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Medium
Lentil & Carrot Mash 347;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Easy
Sweet Potato Purée 348;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Easy
Whole Wheat Mini Pancakes 349;12-18 months;No;Gluten,Dairy,Egg;Whole wheat flour, egg, milk, banana;15;Mix ingredients, cook small pancakes;Finger Food;Breakfast;110;Easy
Banana & Yogurt Bowl 350;8-12 months;No;Dairy;Banana, plain yogurt;5;Mash banana, mix with yogurt, serve chilled;Mash;Snack;80;Easy
Chicken & Sweet Pea Purée 351;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Easy
Chicken & Sweet Pea Purée 352;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Medium
Chicken & Sweet Pea Purée 353;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Medium
Chicken & Sweet Pea Purée 354;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Medium
Lentil & Carrot Mash 355;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Easy
Lentil & Carrot Mash 356;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Easy
Salmon & Potato Mash 357;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Medium
Salmon & Potato Mash 358;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Medium
Sweet Potato Purée 359;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Easy
Whole Wheat Mini Pancakes 360;12-18 months;No;Gluten,Dairy,Egg;Whole wheat flour, egg, milk, banana;15;Mix ingredients, cook small pancakes;Finger Food;Breakfast;110;Easy
Mashed Avocado 361;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Easy
Sweet Potato Purée 362;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Easy
Banana & Yogurt Bowl 363;8-12 months;No;Dairy;Banana, plain yogurt;5;Mash banana, mix with yogurt, serve chilled;Mash;Snack;80;Medium
Mini Veggie Omelette Fingers 364;9-12 months;Yes;Egg;Eggs, spinach, cheese (optional), olive oil;15;Whisk eggs, cook with veggies, cut into finger strips;Finger Food;Breakfast;150;Medium
Salmon & Potato Mash 365;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Easy
Chicken & Sweet Pea Purée 366;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Easy
Mashed Avocado 367;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Medium
Mashed Avocado 368;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Medium
Chicken & Sweet Pea Purée 369;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Easy
Sweet Potato Purée 370;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Easy
Salmon & Potato Mash 371;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Medium
Apple & Oatmeal Cereal 372;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Easy
Cheese & Broccoli Pasta 373;18-36 months;No;Gluten,Dairy;Small pasta, broccoli, cheese, butter;15;Cook pasta, steam broccoli, mix with cheese sauce;Soft Pieces;Dinner;200;Easy
Mini Veggie Omelette Fingers 374;9-12 months;Yes;Egg;Eggs, spinach, cheese (optional), olive oil;15;Whisk eggs, cook with veggies, cut into finger strips;Finger Food;Breakfast;150;Medium
