Dish Name;Baby Age;Iron-Rich;Allergen;Ingredients;Cooking Time (mins);Recipe;Texture;Meal Type;Calories (approx);Preparation Difficulty
Whole Wheat Mini Pancakes 375;12-18 months;No;Gluten,Dairy,Egg;Whole wheat flour, egg, milk, banana;15;Mix ingredients, cook small pancakes;Finger Food;Breakfast;110;Medium
Apple & Oatmeal Cereal 376;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Easy
Sweet Potato Purée 377;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Easy
Apple & Oatmeal Cereal 378;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Medium
Lentil & Carrot Mash 379;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Easy
Apple & Oatmeal Cereal 380;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Medium
Sweet Potato Purée 381;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Medium
Apple & Oatmeal Cereal 382;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Easy
Cheese & Broccoli Pasta 383;18-36 months;No;Gluten,Dairy;Small pasta, broccoli, cheese, butter;15;Cook pasta, steam broccoli, mix with cheese sauce;Soft Pieces;Dinner;200;Easy
Lentil & Carrot Mash 384;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Medium
Chicken & Sweet Pea Purée 385;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Easy
Apple & Oatmeal Cereal 386;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Easy
Apple & Oatmeal Cereal 387;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Easy
Mini Veggie Omelette Fingers 388;9-12 months;Yes;Egg;Eggs, spinach, cheese (optional), olive oil;15;Whisk eggs, cook with veggies, cut into finger strips;Finger Food;Breakfast;150;Medium
Chicken & Sweet Pea Purée 389;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Medium
Whole Wheat Mini Pancakes 390;12-18 months;No;Gluten,Dairy,Egg;Whole wheat flour, egg, milk, banana;15;Mix ingredients, cook small pancakes;Finger Food;Breakfast;110;Medium
Lentil & Carrot Mash 391;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Medium
Apple & Oatmeal Cereal 392;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Medium
Cheese & Broccoli Pasta 393;18-36 months;No;Gluten,Dairy;Small pasta, broccoli, cheese, butter;15;Cook pasta, steam broccoli, mix with cheese sauce;Soft Pieces;Dinner;200;Easy
Apple & Oatmeal Cereal 394;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Medium
Mashed Avocado 395;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Medium
Lentil & Carrot Mash 396;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Medium
Whole Wheat Mini Pancakes 397;12-18 months;No;Gluten,Dairy,Egg;Whole wheat flour, egg, milk, banana;15;Mix ingredients, cook small pancakes;Finger Food;Breakfast;110;Medium
Cheese & Broccoli Pasta 398;18-36 months;No;Gluten,Dairy;Small pasta, broccoli, cheese, butter;15;Cook pasta, steam broccoli, mix with cheese sauce;Soft Pieces;Dinner;200;Medium
Chicken & Sweet Pea Purée 399;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Medium
Mashed Avocado 400;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Easy
Apple & Oatmeal Cereal 401;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Easy
Mini Veggie Omelette Fingers 402;9-12 months;Yes;Egg;Eggs, spinach, cheese (optional), olive oil;15;Whisk eggs, cook with veggies, cut into finger strips;Finger Food;Breakfast;150;Easy
Lentil & Carrot Mash 403;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Easy
Mashed Avocado 404;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Easy
Whole Wheat Mini Pancakes 405;12-18 months;No;Gluten,Dairy,Egg;Whole wheat flour, egg, milk, banana;15;Mix ingredients, cook small pancakes;Finger Food;Breakfast;110;Easy
Mashed Avocado 406;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Medium
Mashed Avocado 407;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Easy
Mashed Avocado 408;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Medium
Banana & Yogurt Bowl 409;8-12 months;No;Dairy;Banana, plain yogurt;5;Mash banana, mix with yogurt, serve chilled;Mash;Snack;80;Easy
Salmon & Potato Mash 410;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Easy
Lentil & Carrot Mash 411;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Easy
Mashed Avocado 412;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Easy
Lentil & Carrot Mash 413;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Easy
Banana & Yogurt Bowl 414;8-12 months;No;Dairy;Banana, plain yogurt;5;Mash banana, mix with yogurt, serve chilled;Mash;Snack;80;Medium
Cheese & Broccoli Pasta 415;18-36 months;No;Gluten,Dairy;Small pasta, broccoli, cheese, butter;15;Cook pasta, steam broccoli, mix with cheese sauce;Soft Pieces;Dinner;200;Medium
Chicken & Sweet Pea Purée 416;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Easy
Salmon & Potato Mash 417;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Medium
Lentil & Carrot Mash 418;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Easy
Banana & Yogurt Bowl 419;8-12 months;No;Dairy;Banana, plain yogurt;5;Mash banana, mix with yogurt, serve chilled;Mash;Snack;80;Easy
Salmon & Potato Mash 420;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Medium
Sweet Potato Purée 421;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Medium
Mashed Avocado 422;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Easy
Salmon & Potato Mash 423;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Medium
Chicken & Sweet Pea Purée 424;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Easy
Banana & Yogurt Bowl 425;8-12 months;No;Dairy;Banana, plain yogurt;5;Mash banana, mix with yogurt, serve chilled;Mash;Snack;80;Medium
Apple & Oatmeal Cereal 426;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Easy
Sweet Potato Purée 427;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Medium
Cheese & Broccoli Pasta 428;18-36 months;No;Gluten,Dairy;Small pasta, broccoli, cheese, butter;15;Cook pasta, steam broccoli, mix with cheese sauce;Soft Pieces;Dinner;200;Easy
Apple & Oatmeal Cereal 429;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Medium
Whole Wheat Mini Pancakes 430;12-18 months;No;Gluten,Dairy,Egg;Whole wheat flour, egg, milk, banana;15;Mix ingredients, cook small pancakes;Finger Food;Breakfast;110;Easy
Whole Wheat Mini Pancakes 431;12-18 months;No;Gluten,Dairy,Egg;Whole wheat flour, egg, milk, banana;15;Mix ingredients, cook small pancakes;Finger Food;Breakfast;110;Medium
Cheese & Broccoli Pasta 432;18-36 months;No;Gluten,Dairy;Small pasta, broccoli, cheese, butter;15;Cook pasta, steam broccoli, mix with cheese sauce;Soft Pieces;Dinner;200;Medium
Mashed Avocado 433;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Easy
Salmon & Potato Mash 434;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Easy
Chicken & Sweet Pea Purée 435;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Easy
Mashed Avocado 436;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Easy
Salmon & Potato Mash 437;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Easy
Sweet Potato Purée 438;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Easy
Chicken & Sweet Pea Purée 439;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Medium
Salmon & Potato Mash 440;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Medium
Banana & Yogurt Bowl 441;8-12 months;No;Dairy;Banana, plain yogurt;5;Mash banana, mix with yogurt, serve chilled;Mash;Snack;80;Medium
Mini Veggie Omelette Fingers 442;9-12 months;Yes;Egg;Eggs, spinach, cheese (optional), olive oil;15;Whisk eggs, cook with veggies, cut into finger strips;Finger Food;Breakfast;150;Easy
Lentil & Carrot Mash 443;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Easy
Sweet Potato Purée 444;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Medium
Apple & Oatmeal Cereal 445;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Easy
Lentil & Carrot Mash 446;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Easy
Sweet Potato Purée 447;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Medium
Mini Veggie Omelette Fingers 448;9-12 months;Yes;Egg;Eggs, spinach, cheese (optional), olive oil;15;Whisk eggs, cook with veggies, cut into finger strips;Finger Food;Breakfast;150;Medium
Whole Wheat Mini Pancakes 449;12-18 months;No;Gluten,Dairy,Egg;Whole wheat flour, egg, milk, banana;15;Mix ingredients, cook small pancakes;Finger Food;Breakfast;110;Medium
Cheese & Broccoli Pasta 450;18-36 months;No;Gluten,Dairy;Small pasta, broccoli, cheese, butter;15;Cook pasta, steam broccoli, mix with cheese sauce;Soft Pieces;Dinner;200;Medium
Mini Veggie Omelette Fingers 451;9-12 months;Yes;Egg;Eggs, spinach, cheese (optional), olive oil;15;Whisk eggs, cook with veggies, cut into finger strips;Finger Food;Breakfast;150;Medium
Mashed Avocado 452;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Easy
Apple & Oatmeal Cereal 453;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Medium
Banana & Yogurt Bowl 454;8-12 months;No;Dairy;Banana, plain yogurt;5;Mash banana, mix with yogurt, serve chilled;Mash;Snack;80;Medium
Lentil & Carrot Mash 455;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Medium
Mashed Avocado 456;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Medium
Sweet Potato Purée 457;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Medium
Apple & Oatmeal Cereal 458;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Medium
Lentil & Carrot Mash 459;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Medium
Cheese & Broccoli Pasta 460;18-36 months;No;Gluten,Dairy;Small pasta, broccoli, cheese, butter;15;Cook pasta, steam broccoli, mix with cheese sauce;Soft Pieces;Dinner;200;Easy
Mini Veggie Omelette Fingers 461;9-12 months;Yes;Egg;Eggs, spinach, cheese (optional), olive oil;15;Whisk eggs, cook with veggies, cut into finger strips;Finger Food;Breakfast;150;Easy
Apple & Oatmeal Cereal 462;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Easy
Chicken & Sweet Pea Purée 463;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Medium
Whole Wheat Mini Pancakes 464;12-18 months;No;Gluten,Dairy,Egg;Whole wheat flour, egg, milk, banana;15;Mix ingredients, cook small pancakes;Finger Food;Breakfast;110;Medium
Chicken & Sweet Pea Purée 465;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Easy
Cheese & Broccoli Pasta 466;18-36 months;No;Gluten,Dairy;Small pasta, broccoli, cheese, butter;15;Cook pasta, steam broccoli, mix with cheese sauce;Soft Pieces;Dinner;200;Medium
Whole Wheat Mini Pancakes 467;12-18 months;No;Gluten,Dairy,Egg;Whole wheat flour, egg, milk, banana;15;Mix ingredients, cook small pancakes;Finger Food;Breakfast;110;Medium
Chicken & Sweet Pea Purée 468;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Medium
Apple & Oatmeal Cereal 469;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Medium
Apple & Oatmeal Cereal 470;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Medium
Cheese & Broccoli Pasta 471;18-36 months;No;Gluten,Dairy;Small pasta, broccoli, cheese, butter;15;Cook pasta, steam broccoli, mix with cheese sauce;Soft Pieces;Dinner;200;Easy
Chicken & Sweet Pea Purée 472;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Easy
Salmon & Potato Mash 473;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Easy
Chicken & Sweet Pea Purée 474;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Easy
Mini Veggie Omelette Fingers 475;9-12 months;Yes;Egg;Eggs, spinach, cheese (optional), olive oil;15;Whisk eggs, cook with veggies, cut into finger strips;Finger Food;Breakfast;150;Medium
Banana & Yogurt Bowl 476;8-12 months;No;Dairy;Banana, plain yogurt;5;Mash banana, mix with yogurt, serve chilled;Mash;Snack;80;Medium
Mashed Avocado 477;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Medium
Sweet Potato Purée 478;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Easy
Salmon & Potato Mash 479;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Easy
Apple & Oatmeal Cereal 480;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Medium
Mini Veggie Omelette Fingers 481;9-12 months;Yes;Egg;Eggs, spinach, cheese (optional), olive oil;15;Whisk eggs, cook with veggies, cut into finger strips;Finger Food;Breakfast;150;Easy
Cheese & Broccoli Pasta 482;18-36 months;No;Gluten,Dairy;Small pasta, broccoli, cheese, butter;15;Cook pasta, steam broccoli, mix with cheese sauce;Soft Pieces;Dinner;200;Easy
Apple & Oatmeal Cereal 483;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Easy
Salmon & Potato Mash 484;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Medium
Apple & Oatmeal Cereal 485;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Easy
Apple & Oatmeal Cereal 486;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Easy
Mini Veggie Omelette Fingers 487;9-12 months;Yes;Egg;Eggs, spinach, cheese (optional), olive oil;15;Whisk eggs, cook with veggies, cut into finger strips;Finger Food;Breakfast;150;Easy
Chicken & Sweet Pea Purée 488;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Easy
Cheese & Broccoli Pasta 489;18-36 months;No;Gluten,Dairy;Small pasta, broccoli, cheese, butter;15;Cook pasta, steam broccoli, mix with cheese sauce;Soft Pieces;Dinner;200;Easy
Sweet Potato Purée 490;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Easy
Apple & Oatmeal Cereal 491;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Medium
Mini Veggie Omelette Fingers 492;9-12 months;Yes;Egg;Eggs, spinach, cheese (optional), olive oil;15;Whisk eggs, cook with veggies, cut into finger strips;Finger Food;Breakfast;150;Medium
Lentil & Carrot Mash 493;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Medium
Lentil & Carrot Mash 494;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Easy
Banana & Yogurt Bowl 495;8-12 months;No;Dairy;Banana, plain yogurt;5;Mash banana, mix with yogurt, serve chilled;Mash;Snack;80;Easy
Lentil & Carrot Mash 496;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Medium
Salmon & Potato Mash 497;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Medium
Whole Wheat Mini Pancakes 498;12-18 months;No;Gluten,Dairy,Egg;Whole wheat flour, egg, milk, banana;15;Mix ingredients, cook small pancakes;Finger Food;Breakfast;110;Easy
Mashed Avocado 499;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Easy
Apple & Oatmeal Cereal 500;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Medium
